day,structure_count,structure_combination_count,pack_count
2024-09-30,0,0,0
2024-10-01,1,1,1
2024-10-02,6,6,10
2024-10-03,11,11,18
2024-10-04,15,15,35
2024-10-05,17,17,38
2024-10-06,17,17,38
2024-10-07,20,20,44
2024-10-08,20,20,46
2024-10-09,20,20,46
2024-10-10,22,22,54
2024-10-11,25,25,57
2024-10-12,25,25,57
2024-10-13,26,26,58
2024-10-14,26,26,58
2024-10-15,26,26,58
2024-10-16,26,26,58
2024-10-17,26,26,58
2024-10-18,26,26,58
2024-10-19,29,29,73
2024-10-20,31,31,121
2024-10-21,31,31,121
2024-10-22,31,31,121
2024-10-23,31,31,121
2024-10-24,32,32,122
2024-10-25,32,32,122
2024-10-26,32,32,122
2024-10-27,33,33,125
2024-10-28,33,33,125
2024-10-29,33,33,125
2024-10-30,33,33,125
2024-10-31,33,33,125
2024-11-01,33,33,125
2024-11-02,34,34,126
2024-11-03,34,34,127
2024-11-04,34,34,127
2024-11-05,35,35,128
2024-11-06,35,35,128
2024-11-07,35,35,128
2024-11-08,38,38,132
2024-11-09,39,39,136
2024-11-10,39,39,142
2024-11-11,39,39,142
2024-11-12,39,39,142
2024-11-13,39,39,142
2024-11-14,40,40,143
2024-11-15,40,40,143
2024-11-16,57,57,171
2024-11-17,98,98,267
2024-11-18,226,226,523
2024-11-19,261,261,612
2024-11-20,280,280,645
2024-11-21,321,321,730
2024-11-22,339,339,764
2024-11-23,381,381,848
2024-11-24,447,447,980
2024-11-25,491,491,1074
2024-11-26,514,514,1114
2024-11-27,518,518,1122
2024-11-28,518,518,1122
2024-11-29,535,535,1146
2024-11-30,553,553,1175
2024-12-01,602,602,1251
2024-12-02,643,643,1375
2024-12-03,665,665,1425
2024-12-04,673,673,1447
2024-12-05,685,685,1466
2024-12-06,731,728,1587
2024-12-07,748,745,1636
2024-12-08,772,769,1791
2024-12-09,826,824,2353
2024-12-10,838,836,2372
2024-12-11,850,849,2415
2024-12-12,868,867,2477
2024-12-13,895,894,2562
2024-12-14,921,920,2645
2024-12-15,963,963,2805
2024-12-16,996,997,3033
2024-12-17,1016,1017,3069
2024-12-18,1035,1036,3121
2024-12-19,1054,1056,3182
2024-12-20,1090,1091,3670
2024-12-21,1148,1144,3809
2024-12-22,1181,1183,3936
2024-12-23,1216,1218,4033
2024-12-24,1241,1243,4076
2024-12-25,1260,1262,4131
2024-12-26,1266,1268,4148
2024-12-27,1292,1291,4186
2024-12-28,1330,1322,4294
2024-12-29,1382,1374,4442
2024-12-30,1408,1400,4474
2024-12-31,1427,1419,4496
2025-01-01,1442,1434,4515
2025-01-02,1479,1468,4551